customer_lifetime_value,monthly_premium_auto,total_claim_amount,number_of_open_complaints,income,policy_type,vehicle_class,gender,education,state,zones
6089,84,403,0,21832,Personal Auto,Four-Door Car,male,Bachelor,California,west
12827,117,842,0,0,Personal Auto,Two-Door Car,female,College,Arizona,central
9135,113,542,0,95330,Corporate Auto,Sports Car,female,College,California,west
7902,106,634,0,0,Personal Auto,SUV,female,College,California,west
14827,68,326,2,0,Personal Auto,Two-Door Car,female,College,California,west
2500,63,302,0,25899,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
5395,74,355,0,0,Personal Auto,Four-Door Car,female,Bachelor,Arizona,central
2651,66,314,0,33201,Personal Auto,Two-Door Car,female,Bachelor,Oregon,northwest
2119,61,292,4,18287,Personal Auto,Two-Door Car,male,College,California,west
7155,89,427,0,76506,Personal Auto,Two-Door Car,female,Doctor,Arizona,central
5994,76,166,0,41859,Personal Auto,Two-Door Car,male,High School or Below,California,west
22647,91,436,0,27504,Personal Auto,Four-Door Car,male,College,Oregon,northwest
2833,73,350,0,45360,Corporate Auto,Four-Door Car,male,High School or Below,Arizona,central
22332,97,484,0,49078,Corporate Auto,Four-Door Car,male,College,California,west
5846,90,648,2,0,Personal Auto,Four-Door Car,male,High School or Below,California,west
2867,71,165,0,91810,Corporate Auto,Four-Door Car,female,College,Arizona,central
14435,122,636,1,70600,Personal Auto,SUV,male,College,Oregon,northwest
5237,131,934,0,33554,Special Auto,SUV,female,College,Arizona,central
7710,64,282,0,77642,Personal Auto,Two-Door Car,male,Bachelor,California,west
5158,66,298,0,25963,Personal Auto,Four-Door Car,male,College,California,west
5414,136,652,1,57452,Personal Auto,SUV,female,Bachelor,California,west
2903,77,491,0,0,Personal Auto,Four-Door Car,female,Master,Washington,east
5575,69,109,0,91416,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
2616,69,383,0,22000,Personal Auto,Two-Door Car,male,Bachelor,California,west
4617,118,554,0,41167,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
20123,70,504,0,0,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
3200,86,412,0,0,Corporate Auto,Four-Door Car,female,Bachelor,California,west
8583,71,340,0,53944,Personal Auto,Two-Door Car,male,College,Oregon,northwest
4349,108,112,0,75648,Personal Auto,SUV,female,College,Nevada,central
4729,64,71,0,29414,Personal Auto,Four-Door Car,male,Bachelor,California,west
5015,130,624,0,48567,Personal Auto,SUV,female,Bachelor,Arizona,central
5797,74,201,2,69276,Personal Auto,Two-Door Car,female,Bachelor,Arizona,central
3475,96,460,0,0,Personal Auto,Two-Door Car,male,High School or Below,California,west
8542,107,462,0,50117,Corporate Auto,Four-Door Car,female,College,Arizona,central
16473,106,508,0,22828,Personal Auto,SUV,male,Bachelor,Arizona,central
6776,96,818,0,0,Personal Auto,Four-Door Car,female,High School or Below,Oregon,northwest
9713,136,979,0,0,Corporate Auto,SUV,female,High School or Below,Oregon,northwest
4429,112,537,0,20868,Personal Auto,SUV,female,High School or Below,Oregon,northwest
2435,62,10,2,40921,Corporate Auto,Four-Door Car,female,Bachelor,California,west
9863,121,272,0,99654,Personal Auto,SUV,female,Master,Nevada,central
8207,110,686,0,0,Special Auto,Sports Car,female,High School or Below,Oregon,northwest
2781,72,302,2,56218,Personal Auto,Four-Door Car,male,Bachelor,Arizona,central
5807,72,37,0,70717,Personal Auto,Two-Door Car,female,High School or Below,Arizona,central
8395,71,319,1,62989,Personal Auto,Four-Door Car,male,College,California,west
14333,71,340,0,41459,Personal Auto,Four-Door Car,male,Master,Arizona,central
11003,102,489,1,0,Personal Auto,SUV,female,Master,California,west
4049,105,77,1,42512,Personal Auto,Four-Door Car,male,College,Oregon,northwest
2141,61,437,0,0,Personal Auto,Four-Door Car,male,Bachelor,Arizona,central
5079,124,353,0,83288,Personal Auto,SUV,female,Doctor,Nevada,central
2895,72,231,0,46267,Personal Auto,Four-Door Car,male,High School or Below,California,west
9031,122,650,0,0,Corporate Auto,Sports Car,female,Master,Oregon,northwest
6554,81,388,0,74424,Personal Auto,Four-Door Car,male,Master,Oregon,northwest
7487,72,693,0,0,Personal Auto,Four-Door Car,female,College,Oregon,northwest
15118,62,432,0,58883,Corporate Auto,Two-Door Car,male,Doctor,Nevada,central
9007,116,556,0,41539,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
5488,68,65,0,33881,Personal Auto,Four-Door Car,female,High School or Below,California,west
7234,90,59,0,86448,Personal Auto,Four-Door Car,female,Bachelor,California,west
5205,69,378,0,25237,Personal Auto,Four-Door Car,female,College,Arizona,central
4697,67,482,0,0,Special Auto,Four-Door Car,female,High School or Below,Nevada,central
6207,77,203,0,49419,Personal Auto,Four-Door Car,female,College,Arizona,central
6615,83,398,1,90414,Personal Auto,Four-Door Car,male,College,Oregon,northwest
9708,86,412,1,39930,Personal Auto,Four-Door Car,male,College,California,west
10831,96,460,0,23202,Personal Auto,Four-Door Car,male,Doctor,California,west
4626,114,547,0,79487,Personal Auto,SUV,female,Master,California,west
6748,85,324,0,68423,Personal Auto,Two-Door Car,male,Master,Oregon,northwest
2542,63,302,0,84495,Special Auto,Two-Door Car,female,Bachelor,Arizona,central
5450,69,330,1,43091,Corporate Auto,Four-Door Car,male,Doctor,California,west
7243,91,40,0,41951,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
8306,105,504,0,89834,Personal Auto,SUV,male,College,Nevada,central
2734,69,270,0,92157,Corporate Auto,Two-Door Car,male,High School or Below,Nevada,central
11030,93,446,0,35773,Personal Auto,Four-Door Car,female,College,Oregon,northwest
3402,99,475,0,0,Personal Auto,Two-Door Car,male,High School or Below,Nevada,central
6945,61,314,0,15850,Corporate Auto,Two-Door Car,female,High School or Below,Oregon,northwest
2568,73,350,3,11167,Personal Auto,Two-Door Car,female,Bachelor,Nevada,central
5764,72,345,0,21195,Corporate Auto,Four-Door Car,male,High School or Below,Oregon,northwest
5403,68,184,0,27430,Personal Auto,Two-Door Car,female,Master,Oregon,northwest
4899,63,302,0,0,Personal Auto,Two-Door Car,female,High School or Below,California,west
9048,119,571,0,0,Personal Auto,Sports Car,male,High School or Below,Oregon,northwest
8093,107,513,2,59839,Personal Auto,SUV,male,High School or Below,Washington,east
2496,73,350,0,0,Corporate Auto,Two-Door Car,male,College,California,west
2602,67,236,1,38166,Corporate Auto,Four-Door Car,male,College,California,west
6751,95,456,0,0,Personal Auto,Four-Door Car,male,High School or Below,Washington,east
3621,94,285,0,13457,Personal Auto,Two-Door Car,female,Bachelor,Oregon,northwest
6896,68,326,0,0,Personal Auto,Two-Door Car,male,College,California,west
5438,136,550,0,52721,Personal Auto,SUV,female,Bachelor,California,west
14472,185,75,0,22012,Corporate Auto,Luxury SUV,female,College,Oregon,northwest
2359,63,352,0,19864,Corporate Auto,Four-Door Car,female,Bachelor,Arizona,central
5323,67,134,0,55289,Personal Auto,Four-Door Car,female,College,Arizona,central
7390,92,501,0,30449,Personal Auto,Four-Door Car,male,College,California,west
11447,144,422,0,27362,Personal Auto,SUV,female,Bachelor,California,west
5754,72,29,0,29460,Personal Auto,Four-Door Car,female,High School or Below,Oregon,northwest
10244,94,451,0,0,Personal Auto,Four-Door Car,female,College,Oregon,northwest
4645,118,200,0,42532,Personal Auto,Sports Car,male,Master,California,west
4887,61,71,0,66707,Personal Auto,Two-Door Car,female,High School or Below,California,west
2497,64,165,0,68041,Personal Auto,Two-Door Car,male,Bachelor,Washington,east
2369,65,468,0,0,Corporate Auto,Four-Door Car,male,Bachelor,Arizona,central
4490,64,307,1,0,Personal Auto,Four-Door Car,male,Bachelor,California,west
3719,97,465,1,40968,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
4198,106,344,0,39913,Personal Auto,SUV,male,Bachelor,Nevada,central
2420,62,199,0,31710,Corporate Auto,Two-Door Car,male,Bachelor,California,west
4462,73,350,3,0,Personal Auto,Two-Door Car,female,Bachelor,California,west
6291,78,219,0,89113,Personal Auto,Four-Door Car,female,Bachelor,California,west
4270,122,725,0,0,Personal Auto,SUV,male,College,Arizona,central
2460,67,321,0,0,Personal Auto,Four-Door Car,female,Bachelor,California,west
19435,249,2294,0,38688,Special Auto,Luxury Car,female,High School or Below,Arizona,central
7374,110,528,4,0,Personal Auto,SUV,female,College,Oregon,northwest
18269,127,609,0,0,Corporate Auto,SUV,female,Bachelor,California,west
11925,104,631,0,28014,Personal Auto,SUV,male,High School or Below,Oregon,northwest
4223,109,523,0,14170,Personal Auto,SUV,female,College,Nevada,central
10298,129,359,0,64825,Personal Auto,SUV,male,High School or Below,Oregon,northwest
5229,67,29,0,77357,Personal Auto,Four-Door Car,male,Bachelor,California,west
2402,62,298,0,21629,Corporate Auto,Two-Door Car,male,Bachelor,Nevada,central
3933,103,674,0,25927,Personal Auto,SUV,male,High School or Below,Washington,east
4299,113,496,1,44388,Personal Auto,Four-Door Car,male,College,Oregon,northwest
7635,63,287,0,54539,Personal Auto,Four-Door Car,female,College,Oregon,northwest
2722,71,398,0,17576,Corporate Auto,Four-Door Car,female,College,California,west
7291,90,411,0,84629,Personal Auto,Four-Door Car,female,Master,Arizona,central
58753,185,888,0,24964,Personal Auto,SUV,female,Bachelor,Arizona,central
5261,66,409,0,43573,Personal Auto,Two-Door Car,female,High School or Below,Oregon,northwest
16938,69,340,0,0,Corporate Auto,Four-Door Car,female,College,Arizona,central
10575,105,756,0,0,Special Auto,Four-Door Car,male,College,Oregon,northwest
5552,70,215,0,35011,Personal Auto,Four-Door Car,female,College,Oregon,northwest
7150,92,224,0,63651,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
8717,74,355,3,83846,Personal Auto,Four-Door Car,male,College,Washington,east
6847,191,1317,0,0,Personal Auto,Luxury SUV,male,Bachelor,California,west
5418,67,90,0,39133,Personal Auto,Four-Door Car,female,College,Nevada,central
3528,92,441,4,31278,Personal Auto,Two-Door Car,male,Doctor,California,west
16468,63,685,0,0,Personal Auto,Four-Door Car,female,High School or Below,California,west
7285,61,386,0,44788,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
16963,117,561,0,0,Corporate Auto,SUV,female,Bachelor,Oregon,northwest
5807,74,133,0,62447,Personal Auto,Two-Door Car,female,College,California,west
5068,64,22,1,31475,Personal Auto,Four-Door Car,male,College,Oregon,northwest
8797,109,3,0,80780,Corporate Auto,SUV,female,College,Nevada,central
4439,111,359,0,88613,Personal Auto,SUV,female,Bachelor,Oregon,northwest
2404,62,110,0,45949,Corporate Auto,Two-Door Car,male,College,California,west
5066,64,307,0,35596,Personal Auto,Two-Door Car,female,Bachelor,Arizona,central
5890,73,17,0,76875,Personal Auto,Four-Door Car,male,High School or Below,California,west
2410,61,292,0,41842,Corporate Auto,Two-Door Car,male,Bachelor,California,west
5288,72,518,1,28884,Corporate Auto,Four-Door Car,male,Bachelor,California,west
26413,83,398,1,24631,Personal Auto,Four-Door Car,female,High School or Below,Arizona,central
16236,74,680,2,0,Personal Auto,Four-Door Car,female,College,Nevada,central
5534,69,178,0,71560,Personal Auto,Two-Door Car,female,Bachelor,Arizona,central
9202,80,384,0,0,Personal Auto,Four-Door Car,male,Master,Nevada,central
2592,65,312,0,72421,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
8019,199,955,0,54702,Personal Auto,SUV,female,Master,Arizona,central
6943,76,547,5,0,Special Auto,Four-Door Car,female,High School or Below,California,west
13367,67,407,0,57335,Personal Auto,Two-Door Car,female,High School or Below,Oregon,northwest
5885,67,482,3,0,Personal Auto,Two-Door Car,male,College,Arizona,central
3479,87,490,0,35033,Personal Auto,Two-Door Car,male,High School or Below,California,west
9103,113,684,0,65733,Personal Auto,Four-Door Car,male,College,Arizona,central
4813,69,472,0,0,Special Auto,Four-Door Car,male,Bachelor,California,west
9575,88,633,0,0,Personal Auto,Four-Door Car,female,College,Arizona,central
13736,181,1261,0,16181,Personal Auto,SUV,female,Master,Arizona,central
8090,69,48,4,86180,Personal Auto,Four-Door Car,male,High School or Below,Nevada,central
8267,104,499,0,36881,Special Auto,SUV,male,High School or Below,Arizona,central
2489,64,545,1,47888,Personal Auto,Four-Door Car,female,High School or Below,Oregon,northwest
2395,63,333,0,21986,Personal Auto,Two-Door Car,female,Doctor,Oregon,northwest
3863,100,480,3,47199,Corporate Auto,SUV,female,College,Washington,east
5173,69,331,0,0,Personal Auto,Four-Door Car,female,College,Oregon,northwest
4984,62,80,0,86305,Personal Auto,Four-Door Car,male,Bachelor,California,west
2396,61,346,0,39062,Corporate Auto,Two-Door Car,female,High School or Below,Washington,east
2631,69,238,0,16976,Personal Auto,Four-Door Car,female,College,California,west
6993,65,468,2,0,Corporate Auto,Four-Door Car,female,High School or Below,California,west
15055,193,273,1,83283,Personal Auto,Luxury Car,male,College,Arizona,central
3401,86,691,0,41972,Personal Auto,Four-Door Car,male,High School or Below,California,west
4126,107,220,1,34080,Personal Auto,Four-Door Car,male,College,California,west
4462,73,350,3,0,Corporate Auto,Two-Door Car,female,Bachelor,California,west
9320,81,329,2,40269,Personal Auto,Four-Door Car,male,College,California,west
3663,91,436,0,61894,Corporate Auto,Four-Door Car,female,Bachelor,Oregon,northwest
4962,63,339,1,23300,Corporate Auto,Four-Door Car,female,College,California,west
2816,70,265,0,66023,Personal Auto,Two-Door Car,female,Bachelor,Oregon,northwest
4330,107,416,0,39660,Corporate Auto,Sports Car,female,Bachelor,Arizona,central
8262,76,32,1,0,Personal Auto,Four-Door Car,female,College,Nevada,central
4666,117,784,0,60466,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
5876,74,250,0,32848,Personal Auto,Four-Door Car,female,College,Oregon,northwest
8427,72,373,0,20662,Personal Auto,Two-Door Car,male,Bachelor,Oregon,northwest
13023,108,16,0,64985,Personal Auto,Two-Door Car,female,High School or Below,Arizona,central
8209,103,494,0,68022,Personal Auto,Sports Car,male,High School or Below,Oregon,northwest
2464,65,91,3,72834,Corporate Auto,Four-Door Car,male,College,California,west
2727,67,321,0,74592,Personal Auto,Two-Door Car,female,Doctor,Washington,east
3086,76,53,0,73938,Personal Auto,Two-Door Car,female,College,California,west
22067,83,398,0,15999,Personal Auto,Four-Door Car,male,College,California,west
4836,69,632,0,0,Personal Auto,Four-Door Car,female,College,Oregon,northwest
6912,96,460,0,0,Personal Auto,Four-Door Car,male,College,Oregon,northwest
2570,72,345,3,0,Personal Auto,Two-Door Car,male,Master,California,west
2991,80,576,0,0,Corporate Auto,Four-Door Car,female,Bachelor,Nevada,central
8253,103,411,1,62375,Personal Auto,SUV,female,High School or Below,Nevada,central
10477,88,422,0,61427,Personal Auto,Four-Door Car,male,Doctor,Arizona,central
16373,103,355,0,64396,Special Auto,SUV,male,High School or Below,California,west
5184,65,230,1,49312,Corporate Auto,Four-Door Car,female,College,California,west
10634,61,292,0,0,Personal Auto,Two-Door Car,female,High School or Below,California,west
15114,100,480,1,28513,Personal Auto,SUV,female,High School or Below,California,west
11875,108,518,0,0,Personal Auto,SUV,male,High School or Below,California,west
4369,110,74,0,97321,Personal Auto,Four-Door Car,male,College,California,west
7432,65,18,3,58839,Personal Auto,Two-Door Car,female,College,California,west
2558,72,518,0,0,Corporate Auto,Four-Door Car,male,High School or Below,Nevada,central
5452,67,321,0,88567,Personal Auto,Four-Door Car,male,Bachelor,Nevada,central
2968,74,57,0,91646,Corporate Auto,Two-Door Car,male,College,Nevada,central
15700,211,1012,0,0,Personal Auto,Luxury SUV,male,High School or Below,California,west
7477,94,262,0,48552,Corporate Auto,Four-Door Car,female,High School or Below,Arizona,central
9407,118,294,0,31485,Personal Auto,SUV,male,Bachelor,Oregon,northwest
4428,64,628,0,0,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
10053,135,972,0,16511,Personal Auto,SUV,male,College,Arizona,central
2907,73,350,0,51020,Personal Auto,Four-Door Car,female,College,California,west
7644,97,465,0,43838,Corporate Auto,Four-Door Car,male,College,California,west
9709,133,827,0,0,Corporate Auto,SUV,male,College,Oregon,northwest
8439,110,556,2,22454,Personal Auto,SUV,male,Bachelor,Washington,east
4209,105,533,0,57933,Personal Auto,SUV,female,Bachelor,Arizona,central
8556,124,595,3,0,Personal Auto,SUV,male,College,Nevada,central
26770,113,355,1,26335,Personal Auto,SUV,female,College,Arizona,central
16265,134,735,0,85322,Personal Auto,SUV,female,Bachelor,Arizona,central
3624,92,354,0,37843,Personal Auto,Four-Door Car,male,High School or Below,California,west
2519,67,482,0,0,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
4819,61,421,0,74730,Personal Auto,Four-Door Car,male,College,Arizona,central
3028,94,483,1,0,Special Auto,Four-Door Car,male,High School or Below,Oregon,northwest
2316,64,307,0,0,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
13869,118,612,0,28432,Personal Auto,SUV,male,College,Oregon,northwest
25807,214,1027,1,71210,Personal Auto,Luxury Car,female,College,Washington,east
2342,67,321,0,19581,Corporate Auto,Four-Door Car,male,Bachelor,Arizona,central
2747,80,576,0,0,Special Auto,Two-Door Car,male,Bachelor,Oregon,northwest
5479,68,326,1,56005,Personal Auto,Four-Door Car,male,Master,Oregon,northwest
9199,80,572,0,0,Personal Auto,Four-Door Car,female,College,California,west
8060,69,331,0,23671,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
6686,84,114,0,22244,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
4709,66,470,0,0,Personal Auto,Four-Door Car,female,High School or Below,Washington,east
2685,67,45,0,75329,Corporate Auto,Four-Door Car,male,High School or Below,Arizona,central
3920,108,525,1,0,Personal Auto,Two-Door Car,female,High School or Below,Arizona,central
5493,68,185,0,44369,Personal Auto,Four-Door Car,female,College,California,west
8521,108,518,0,37910,Personal Auto,Four-Door Car,male,High School or Below,California,west
2414,71,511,0,0,Personal Auto,Four-Door Car,male,High School or Below,California,west
4282,109,166,1,40864,Personal Auto,SUV,female,College,Nevada,central
5918,73,305,0,94846,Corporate Auto,Two-Door Car,female,College,Oregon,northwest
7519,95,185,1,96306,Personal Auto,Four-Door Car,male,High School or Below,California,west
4472,111,520,0,53519,Corporate Auto,SUV,female,Doctor,Arizona,central
5531,69,331,1,50648,Personal Auto,Two-Door Car,male,Bachelor,Arizona,central
8435,70,336,0,64692,Corporate Auto,Two-Door Car,male,Bachelor,Oregon,northwest
10196,100,720,0,0,Corporate Auto,SUV,male,High School or Below,Arizona,central
20552,187,1430,1,0,Corporate Auto,Luxury SUV,female,High School or Below,Arizona,central
3915,109,784,0,0,Personal Auto,SUV,male,Bachelor,Oregon,northwest
6010,74,355,0,49311,Personal Auto,Four-Door Car,male,Master,Oregon,northwest
2854,71,324,0,71126,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
5994,74,268,0,74284,Personal Auto,Four-Door Car,female,Master,California,west
4477,119,571,4,41402,Personal Auto,Sports Car,female,Bachelor,Oregon,northwest
5544,71,280,3,79619,Personal Auto,Four-Door Car,male,High School or Below,Nevada,central
3600,101,694,0,25147,Personal Auto,SUV,female,High School or Below,Nevada,central
9934,125,600,1,56379,Corporate Auto,SUV,female,High School or Below,Oregon,northwest
6874,96,691,0,0,Personal Auto,Four-Door Car,female,Bachelor,California,west
2374,61,292,0,48911,Personal Auto,Two-Door Car,male,High School or Below,Arizona,central
9162,80,20,0,29723,Personal Auto,Four-Door Car,male,College,Washington,east
7380,91,436,0,21841,Corporate Auto,Four-Door Car,female,Master,Arizona,central
2655,68,377,0,31796,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
7591,105,504,0,0,Corporate Auto,SUV,male,Bachelor,Nevada,central
5015,130,624,0,48567,Personal Auto,SUV,female,Bachelor,Nevada,central
4603,118,457,0,66161,Personal Auto,SUV,male,College,Oregon,northwest
2551,63,392,0,79751,Personal Auto,Two-Door Car,male,Master,Arizona,central
5641,71,315,0,39469,Personal Auto,Two-Door Car,male,Bachelor,Arizona,central
5463,67,214,0,44305,Personal Auto,Four-Door Car,female,Master,Arizona,central
4866,68,444,0,0,Personal Auto,Four-Door Car,female,Bachelor,Oregon,northwest
2779,69,279,0,38893,Personal Auto,Two-Door Car,female,Doctor,Oregon,northwest
4563,118,566,1,39187,Corporate Auto,SUV,female,College,California,west
14376,179,253,0,70341,Personal Auto,SUV,male,College,Arizona,central
2279,64,460,0,0,Personal Auto,Four-Door Car,female,Bachelor,Arizona,central
5380,73,350,0,0,Corporate Auto,Four-Door Car,male,Bachelor,California,west
8708,73,329,0,30090,Corporate Auto,Two-Door Car,female,High School or Below,California,west
18611,232,1021,0,49673,Personal Auto,Luxury SUV,female,Master,California,west
2215,66,389,0,0,Personal Auto,Two-Door Car,male,College,Washington,east
7780,70,504,0,0,Personal Auto,Four-Door Car,female,High School or Below,California,west
2860,72,345,0,50332,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
5577,71,15,0,70190,Corporate Auto,Two-Door Car,male,Bachelor,California,west
7268,90,374,1,38179,Personal Auto,Four-Door Car,female,Master,Arizona,central
4060,115,699,1,0,Personal Auto,Four-Door Car,male,Bachelor,Washington,east
7813,74,355,0,25859,Special Auto,Four-Door Car,female,Bachelor,Washington,east
4762,118,255,0,36529,Personal Auto,SUV,female,Master,Washington,east
14166,118,566,0,67588,Personal Auto,Sports Car,male,Bachelor,Arizona,central
4354,121,871,0,0,Personal Auto,SUV,male,High School or Below,Nevada,central
2880,71,190,0,81565,Personal Auto,Four-Door Car,female,College,California,west
19185,244,76,0,35322,Personal Auto,Luxury Car,male,Bachelor,Arizona,central
5329,67,190,0,43671,Corporate Auto,Four-Door Car,female,Bachelor,California,west
4883,61,206,0,58682,Corporate Auto,Four-Door Car,female,Bachelor,Arizona,central
4510,114,738,0,44230,Personal Auto,Sports Car,male,College,Oregon,northwest
15304,193,926,0,40269,Personal Auto,Luxury SUV,male,Bachelor,Oregon,northwest
5237,66,160,0,31756,Corporate Auto,Four-Door Car,female,College,Nevada,central
15119,63,142,0,47725,Personal Auto,Two-Door Car,male,Doctor,Nevada,central
5860,74,376,0,38684,Personal Auto,Two-Door Car,female,Bachelor,Arizona,central
32306,118,647,0,36301,Corporate Auto,SUV,female,High School or Below,California,west
4655,67,482,0,0,Personal Auto,Four-Door Car,male,High School or Below,Nevada,central
5326,67,294,0,22268,Personal Auto,Two-Door Car,female,College,Oregon,northwest
6513,81,303,0,50037,Special Auto,Four-Door Car,female,College,Arizona,central
3491,104,748,0,0,Corporate Auto,Four-Door Car,male,Bachelor,Washington,east
7870,98,46,0,75740,Personal Auto,Four-Door Car,male,Master,California,west
4274,109,25,1,39621,Corporate Auto,SUV,male,College,Arizona,central
7189,90,428,0,75838,Corporate Auto,Two-Door Car,female,Bachelor,Oregon,northwest
11315,101,484,0,11885,Special Auto,Four-Door Car,female,Bachelor,Oregon,northwest
2480,63,302,0,29444,Personal Auto,Two-Door Car,female,High School or Below,California,west
7344,181,868,0,64371,Personal Auto,SUV,female,High School or Below,Oregon,northwest
6974,91,655,0,26514,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
20096,71,379,0,92766,Personal Auto,Two-Door Car,female,High School or Below,Washington,east
5623,71,340,0,31504,Special Auto,Four-Door Car,female,College,California,west
2828,72,345,2,98680,Personal Auto,Four-Door Car,female,High School or Below,Oregon,northwest
7294,113,733,2,0,Personal Auto,Sports Car,female,College,Washington,east
5583,138,114,0,76927,Personal Auto,SUV,male,College,California,west
25763,71,389,0,78804,Personal Auto,Four-Door Car,female,Bachelor,Nevada,central
5639,70,425,0,73168,Corporate Auto,Four-Door Car,male,High School or Below,Arizona,central
4576,114,434,0,48569,Personal Auto,Four-Door Car,female,Master,California,west
2875,72,110,0,84768,Personal Auto,Two-Door Car,male,Bachelor,Washington,east
3031,86,619,0,0,Corporate Auto,Two-Door Car,female,High School or Below,California,west
5979,76,547,0,57693,Corporate Auto,Four-Door Car,female,High School or Below,Arizona,central
2242,65,85,0,0,Personal Auto,Four-Door Car,male,College,California,west
16547,70,129,0,46593,Corporate Auto,Two-Door Car,male,High School or Below,California,west
15814,146,1055,0,0,Personal Auto,SUV,male,College,Arizona,central
4879,61,33,2,67163,Personal Auto,Two-Door Car,female,Master,Washington,east
5494,68,165,0,89205,Personal Auto,Two-Door Car,male,Master,Oregon,northwest
5060,138,570,0,0,Personal Auto,Sports Car,male,Doctor,Oregon,northwest
11269,94,451,0,65448,Special Auto,Four-Door Car,female,Bachelor,California,west
10552,88,205,0,77627,Corporate Auto,Two-Door Car,male,High School or Below,California,west
7517,96,460,0,37695,Personal Auto,Two-Door Car,female,Bachelor,Oregon,northwest
6298,78,116,0,89411,Personal Auto,Four-Door Car,female,College,California,west
7821,114,914,0,0,Corporate Auto,SUV,male,College,Nevada,central
22806,67,321,0,10337,Personal Auto,Four-Door Car,female,Master,Oregon,northwest
4386,67,321,0,10621,Special Auto,Four-Door Car,male,College,Washington,east
3499,91,580,1,16711,Personal Auto,Four-Door Car,male,High School or Below,California,west
7528,106,508,0,0,Personal Auto,SUV,female,College,Oregon,northwest
2732,69,331,0,42968,Personal Auto,Four-Door Car,male,College,California,west
13736,181,1261,0,16181,Personal Auto,SUV,female,Master,California,west
7060,88,134,0,85412,Personal Auto,Four-Door Car,male,High School or Below,Arizona,central
3732,92,441,1,75774,Corporate Auto,Four-Door Car,female,High School or Below,California,west
4064,101,254,0,26599,Personal Auto,SUV,female,Master,Nevada,central
5754,73,525,0,34847,Personal Auto,Four-Door Car,male,Bachelor,Arizona,central
8460,115,552,0,0,Personal Auto,SUV,female,High School or Below,California,west
5638,70,48,0,85896,Personal Auto,Four-Door Car,male,Bachelor,Oregon,northwest
7163,66,316,0,0,Personal Auto,Two-Door Car,female,Doctor,Oregon,northwest
2803,70,310,0,43775,Personal Auto,Four-Door Car,female,College,California,west
20940,67,482,0,0,Personal Auto,Four-Door Car,female,High School or Below,Nevada,central
3130,78,221,0,42056,Personal Auto,Four-Door Car,female,High School or Below,Oregon,northwest
3741,100,514,0,13093,Personal Auto,SUV,female,High School or Below,Oregon,northwest
3439,85,367,0,98278,Personal Auto,Four-Door Car,female,College,California,west
7284,91,436,0,44605,Personal Auto,Four-Door Car,female,College,Washington,east
5278,67,193,0,32365,Personal Auto,Four-Door Car,male,Bachelor,Arizona,central
5680,71,145,0,82255,Personal Auto,Four-Door Car,male,College,California,west
2194,62,623,0,0,Personal Auto,Four-Door Car,male,College,Oregon,northwest
6473,88,468,0,0,Personal Auto,Four-Door Car,female,High School or Below,California,west
18522,66,316,0,65903,Personal Auto,Four-Door Car,male,High School or Below,Oregon,northwest
4700,63,302,0,11417,Personal Auto,Two-Door Car,female,College,Washington,east
21295,96,677,0,0,Corporate Auto,Two-Door Car,female,High School or Below,Arizona,central
6158,67,321,2,0,Personal Auto,Four-Door Car,male,College,California,west
8653,72,89,0,69704,Personal Auto,Two-Door Car,male,Doctor,Oregon,northwest
3776,96,291,0,20101,Corporate Auto,Four-Door Car,male,Doctor,Oregon,northwest
4897,69,331,2,24383,Corporate Auto,Four-Door Car,male,Bachelor,Nevada,central
14947,100,480,0,22139,Personal Auto,SUV,male,Bachelor,Washington,east
9011,112,499,0,88708,Personal Auto,Sports Car,male,Bachelor,Arizona,central
10083,90,571,0,11828,Personal Auto,Four-Door Car,female,High School or Below,Arizona,central
2938,80,384,1,0,Corporate Auto,Two-Door Car,female,Bachelor,Washington,east
5639,70,425,0,73168,Personal Auto,Four-Door Car,male,High School or Below,Nevada,central
2606,71,409,0,0,Corporate Auto,Two-Door Car,male,Bachelor,Nevada,central
52811,182,873,0,0,Corporate Auto,Luxury Car,male,Bachelor,Nevada,central
5226,65,263,0,76646,Personal Auto,Two-Door Car,male,Master,Nevada,central
8382,117,561,1,19683,Corporate Auto,Sports Car,male,High School or Below,Washington,east
